canonical_name,df_type,df_subtype,padloc_system,source,df_genome_count,padloc_genome_count,notes
AbiC,AbiC,AbiC,AbiC,both,19,13,exact_name_match
AbiD,AbiD,AbiD,AbiD,both,81,97,exact_name_match
AbiE,AbiE,AbiE,AbiE,both,219,384,exact_name_match
AbiL,AbiL,AbiL,AbiL,both,5,25,exact_name_match
AbiQ,AbiQ,AbiQ,AbiQ,both,17,2,exact_name_match
AbiU,AbiU,AbiU,AbiU,both,50,10,exact_name_match
Azaca,Azaca,Azaca,Azaca,both,6,6,exact_name_match
BREX_I,BREX,BREX_I,brex_type_I,both,65,62,naming convention differs between tools
BREX_II,BREX,BREX_II,brex_type_II,both,1,1,naming convention differs between tools
BREX_III,BREX,BREX_III,brex_type_III,both,7,4,naming convention differs between tools
Borvo,Borvo,Borvo,Borvo,both,11,12,exact_name_match
BstA,BstA,BstA,BstA,both,20,18,exact_name_match
Bunzi,Bunzi,Bunzi,Bunzi,both,4,4,exact_name_match
CAS_I-C,Cas,CAS_Class1-Subtype-I-C,cas_type_I-C,both,5,5,naming convention differs between tools
CAS_I-E,Cas,CAS_Class1-Subtype-I-E,cas_type_I-E,both,64,63,naming convention differs between tools
CAS_I-F,Cas,CAS_Class1-Subtype-I-F,cas_type_I-F1,both,113,110,DF uses I-F; PADLOC uses I-F1 — same CRISPR-Cas subtype
CAS_II-A,Cas,CAS_Class2-Subtype-II-A,cas_type_II-A,both,2,2,naming convention differs between tools
CAS_III-A,Cas,CAS_Class1-Subtype-III-A,cas_type_III-A,both,6,6,naming convention differs between tools
CAS_IV-A,Cas,CAS_Class1-Subtype-IV-A,cas_type_IV-A,both,32,24,naming convention differs between tools
CBASS_I,CBASS,CBASS_I,cbass_type_I,both,62,65,naming convention differs between tools
CBASS_II,CBASS,CBASS_II,cbass_type_II,both,94,54,naming convention differs between tools
CBASS_III,CBASS,CBASS_III,cbass_type_III,both,48,50,naming convention differs between tools
DISARM_I,DISARM,DISARM_1,disarm_type_I,both,17,10,DISARM_1(DF)=disarm_type_I(PADLOC)
DRT_2,DRT,DRT_2,DRT_class_I,both,16,65,DRT_2(DF)=DRT_class_I(PADLOC)
DRT_3,DRT,DRT_3,DRT_class_II,both,15,39,DRT_3(DF)=DRT_class_II(PADLOC)
DRT_4,DRT,DRT_4,DRT_class_III,both,1,21,DRT_4(DF)=DRT_class_III(PADLOC)
DarTG,DarTG,DarTG,darTG,both,16,11,case_insensitive_match
Dazbog,Dazbog,Dazbog,Dazbog,both,1,1,exact_name_match
Dnd_ABCDE,Dnd,Dnd_ABCDE,PT_DndABCDE,both,3,8,naming convention differs between tools
Dnd_ABCDEFGH,Dnd,Dnd_ABCDEFGH,PT_DndFGH,both,4,4,naming convention differs between tools
Dodola,Dodola,Dodola,Dodola,both,48,48,exact_name_match
Dpd,Dpd,Dpd,Dpd,both,13,13,exact_name_match
Druantia_I,Druantia,Druantia_I,druantia_type_I,both,5,5,naming convention differs between tools
Druantia_II,Druantia,Druantia_II,druantia_type_II,both,14,14,naming convention differs between tools
Druantia_III,Druantia,Druantia_III,druantia_type_III,both,40,38,naming convention differs between tools
Gabija,Gabija,Gabija,gabija,both,245,336,case_insensitive_match
Gao_Hhe,Gao_Hhe,Gao_Hhe,hhe,both,15,14,Gao_Hhe(DF)=hhe(PADLOC); Gao et al. 2020
Gao_Mza,Gao_Mza,Gao_Mza,mza,both,29,25,Gao_Mza(DF)=mza(PADLOC)
Gao_Ppl,Gao_Ppl,Gao_Ppl,ppl,both,12,12,Gao_Ppl(DF)=ppl(PADLOC)
Gao_Qat,Gao_Qat,Gao_Qat,qatABCD,both,78,77,Gao_Qat(DF)=qatABCD(PADLOC) — key FACILITATE system in published paper
Gao_TerY,Gao_TerY,Gao_TerY,TerY-P,both,3,3,Gao_TerY(DF)=TerY-P(PADLOC)
Gao_Tmn,Gao_Tmn,Gao_Tmn,tmn,both,18,19,Gao_Tmn(DF)=tmn(PADLOC)
Gao_Upx,Gao_Upx,Gao_Upx,upx,both,3,3,Gao_Upx(DF)=upx(PADLOC)
HEC-01,HEC-01,HEC-01,HEC-01,both,6,12,exact_name_match
HEC-02,HEC-02,HEC-02,HEC-02,both,5,1,exact_name_match
HEC-04,HEC-04,HEC-04,HEC-04,both,4,9,exact_name_match
HEC-05,HEC-05,HEC-05,HEC-05,both,29,40,exact_name_match
HEC-07,HEC-07,HEC-07,HEC-07,both,8,8,exact_name_match
HEC-08,HEC-08,HEC-08,HEC-08,both,6,19,exact_name_match
HEC-09,HEC-09,HEC-09,HEC-09,both,22,20,exact_name_match
Hachiman,Hachiman,Hachiman,hachiman_type_I,both,79,92,naming convention differs between tools
Hma,Hma,Hma,hma,both,5,6,case_insensitive_match
Kiwa,Kiwa,Kiwa,kiwa,both,34,34,case_insensitive_match
Lamassu,Lamassu-Fam,Lamassu-Cap4_nuclease,Lamassu_Family,both,59,114,DF has subtypes; PADLOC uses family level; merged to family level
MADS,MADS,MADS,mads,both,1,1,case_insensitive_match
Menshen,Menshen,Menshen,Menshen,both,13,13,exact_name_match
Mokosh_TypeII,Mokosh,Mokosh_TypeII,Mokosh_TypeII,both,19,224,exact_name_match
Mokosh_TypeI_A,Mokosh,Mokosh_Type_I_A,Mokosh_TypeI,both,46,68,Mokosh_Type_I_A(DF)=Mokosh_TypeI(PADLOC)
Olokun,Olokun,Olokun,Olokun,both,19,20,exact_name_match
PARIS_I,Paris,PARIS_I,Paris,both,32,30,PARIS_I(DF)=Paris(PADLOC)
PARIS_II,Paris,PARIS_II,Paris_fused,both,7,5,PARIS_II(DF)=Paris_fused(PADLOC)
