canonical_name,df_type,df_subtype,padloc_system,source,df_genome_count,padloc_genome_count,notes
AbiC,AbiC,AbiC,AbiC,both,19,13,exact_name_match
AbiD,AbiD,AbiD,AbiD,both,81,97,exact_name_match
AbiE,AbiE,AbiE,AbiE,both,219,384,exact_name_match
AbiL,AbiL,AbiL,AbiL,both,5,25,exact_name_match
AbiQ,AbiQ,AbiQ,AbiQ,both,17,2,exact_name_match
AbiU,AbiU,AbiU,AbiU,both,50,10,exact_name_match
Azaca,Azaca,Azaca,Azaca,both,6,6,exact_name_match
Borvo,Borvo,Borvo,Borvo,both,11,12,exact_name_match
BstA,BstA,BstA,BstA,both,20,18,exact_name_match
Bunzi,Bunzi,Bunzi,Bunzi,both,4,4,exact_name_match
Dazbog,Dazbog,Dazbog,Dazbog,both,1,1,exact_name_match
Dodola,Dodola,Dodola,Dodola,both,48,48,exact_name_match
Dpd,Dpd,Dpd,Dpd,both,13,13,exact_name_match
HEC-01,HEC-01,HEC-01,HEC-01,both,6,12,exact_name_match
HEC-02,HEC-02,HEC-02,HEC-02,both,5,1,exact_name_match
HEC-04,HEC-04,HEC-04,HEC-04,both,4,9,exact_name_match
HEC-05,HEC-05,HEC-05,HEC-05,both,29,40,exact_name_match
HEC-07,HEC-07,HEC-07,HEC-07,both,8,8,exact_name_match
HEC-08,HEC-08,HEC-08,HEC-08,both,6,19,exact_name_match
HEC-09,HEC-09,HEC-09,HEC-09,both,22,20,exact_name_match
Menshen,Menshen,Menshen,Menshen,both,13,13,exact_name_match
Mokosh_TypeII,Mokosh,Mokosh_TypeII,Mokosh_TypeII,both,19,224,exact_name_match
Olokun,Olokun,Olokun,Olokun,both,19,20,exact_name_match
PD-Lambda-1,PD-Lambda-1,PD-Lambda-1,PD-Lambda-1,both,129,72,exact_name_match
PD-Lambda-2,PD-Lambda-2,PD-Lambda-2,PD-Lambda-2,both,12,12,exact_name_match
PD-Lambda-3,PD-Lambda-3,PD-Lambda-3,PD-Lambda-3,both,16,11,exact_name_match
PD-Lambda-4,PD-Lambda-4,PD-Lambda-4,PD-Lambda-4,both,1,1,exact_name_match
PD-Lambda-5,PD-Lambda-5,PD-Lambda-5,PD-Lambda-5,both,16,19,exact_name_match
PD-T4-1,PD-T4-1,PD-T4-1,PD-T4-1,both,2,2,exact_name_match
PD-T4-2,PD-T4-2,PD-T4-2,PD-T4-2,both,1,2,exact_name_match
PD-T4-3,PD-T4-3,PD-T4-3,PD-T4-3,both,97,97,exact_name_match
PD-T4-4,PD-T4-4,PD-T4-4,PD-T4-4,both,1,1,exact_name_match
PD-T4-5,PD-T4-5,PD-T4-5,PD-T4-5,both,81,32,exact_name_match
PD-T4-6,PD-T4-6,PD-T4-6,PD-T4-6,both,2,322,exact_name_match
PD-T4-7,PD-T4-7,PD-T4-7,PD-T4-7,both,6,4,exact_name_match
PD-T7-3,PD-T7-3,PD-T7-3,PD-T7-3,both,32,31,exact_name_match
PD-T7-4,PD-T7-4,PD-T7-4,PD-T7-4,both,19,18,exact_name_match
PrrC,PrrC,PrrC,PrrC,both,52,29,exact_name_match
PsyrTA,PsyrTA,PsyrTA,PsyrTA,both,16,17,exact_name_match
RexAB,RexAB,RexAB,RexAB,both,1,1,exact_name_match
RosmerTA,RosmerTA,RosmerTA,RosmerTA,both,204,204,exact_name_match
SEFIR,SEFIR,SEFIR,SEFIR,both,17,32,exact_name_match
Shango,Shango,Shango,Shango,both,51,51,exact_name_match
ShosTA,ShosTA,ShosTA,ShosTA,both,21,19,exact_name_match
SoFic,SoFIC,SoFic,SoFic,both,6,410,exact_name_match
Stk2,Stk2,Stk2,Stk2,both,18,18,exact_name_match
Tiamat,Tiamat,Tiamat,Tiamat,both,7,9,exact_name_match
DarTG,DarTG,DarTG,darTG,both,16,11,case_insensitive_match
Gabija,Gabija,Gabija,gabija,both,245,336,case_insensitive_match
Hma,Hma,Hma,hma,both,5,6,case_insensitive_match
Kiwa,Kiwa,Kiwa,kiwa,both,34,34,case_insensitive_match
MADS,MADS,MADS,mads,both,1,1,case_insensitive_match
Retron_IV,Retron,Retron_IV,retron_IV,both,10,9,case_insensitive_match
Retron_VI,Retron,Retron_VI,retron_VI,both,7,3,case_insensitive_match
RM_Type_I,RM,RM_Type_I,RM_type_I,both,876,585,case_insensitive_match
RM_Type_II,RM,RM_Type_II,RM_type_II,both,290,209,case_insensitive_match
RM_Type_IIG,RM,RM_Type_IIG,RM_type_IIG,both,80,68,case_insensitive_match
RM_Type_III,RM,RM_Type_III,RM_type_III,both,85,76,case_insensitive_match
RM_Type_IV,RM,RM_Type_IV,RM_type_IV,both,345,130,case_insensitive_match
Shedu,Shedu,Shedu,shedu,both,44,40,case_insensitive_match
df_6A_MBL,6A_MBL,6A_MBL,,df_only,27,0,needs_manual_review
df_Abi2,Abi2,Abi2,,df_only,151,0,needs_manual_review
df_AbiA_large,AbiA,AbiA_large,,df_only,1,0,needs_manual_review
df_AbiAlpha,AbiAlpha,AbiAlpha,,df_only,24,0,needs_manual_review
df_AbiB,AbiB,AbiB,,df_only,1,0,needs_manual_review
df_AbiH,AbiH,AbiH,,df_only,124,0,needs_manual_review
df_AbiJ,AbiJ,AbiJ,,df_only,91,0,needs_manual_review
df_AbiK,AbiK,AbiK,,df_only,1,0,needs_manual_review
df_AbiP2,AbiP2,AbiP2,,df_only,53,0,needs_manual_review
df_AbiZ,AbiZ,AbiZ,,df_only,11,0,needs_manual_review
df_AspAB,AspAB,AspAB,,df_only,3,0,needs_manual_review
df_Avs_II,Avs,Avs_II,,df_only,47,0,needs_manual_review
