Feature block,N features,"ARI (K=6, dereplicated)",ARI 95% CI,Permutation p,Significant (p<0.05)
Defence,359,0.2194,[0.059–0.322],0.001,Yes
IS elements,19,0.2371,[0.148–0.336],0.001,Yes
HMRG,9,0.1012,[0.049–0.145],0.001,Yes
ARG,134,0.0689,[0.008–0.133],0.001,Yes
Anti-defence,37,0.1154,[0.054–0.232],0.001,Yes
Defence + IS,378,0.3915,[0.205–0.473],0.001,Yes
Defence + HMRG,368,0.2364,[0.114–0.364],0.001,Yes
Defence + ARG,493,0.2682,[0.046–0.395],0.001,Yes
Defence + Anti-defence,396,0.2081,[0.082–0.339],0.001,Yes
IS + HMRG + ARG,162,0.2304,[0.155–0.341],0.001,Yes
Defence + IS + HMRG + ARG,521,0.3625,[0.175–0.501],0.001,Yes
Defence + IS + Anti-defence,415,0.3213,[0.203–0.484],0.001,Yes
IS + HMRG + ARG + Anti-defence,199,0.2437,[0.164–0.385],0.001,Yes
Defence + IS + HMRG + ARG + Anti-defence,558,0.4058,[0.179–0.509],0.001,Yes
