Species,Feature,Category,ρ (within-phylogroup),p (within-phylogroup),Survives robustness gate,Direction
A. baumannii,CAS_I-F,named,-0.0266,5.1514e-01,No,Restrictive
A. baumannii,CBASS_II,named,0.0678,9.6909e-02,No,Facilitative
A. baumannii,Gao_Qat,named,0.0487,2.3391e-01,No,Facilitative
A. baumannii,Lamassu,named,-0.0392,3.3718e-01,No,Restrictive
A. baumannii,Mokosh_TypeII,named,-0.0865,3.4161e-02,Yes,Restrictive
A. baumannii,PARIS_I,named,0.0427,2.9611e-01,No,Facilitative
A. baumannii,PD-T4-5,named,0.2897,4.5946e-13,Yes,Facilitative
A. baumannii,RM_Type_I,named,0.0981,1.6208e-02,Yes,Facilitative
A. baumannii,RM_Type_II,named,-0.0233,5.6927e-01,No,Restrictive
A. baumannii,RM_Type_IV,named,-0.0946,2.0533e-02,Yes,Restrictive
A. baumannii,Retron_III-A,named,-0.0217,5.9646e-01,No,Restrictive
A. baumannii,RosmerTA,named,0.1066,8.9735e-03,Yes,Facilitative
A. baumannii,Septu,named,0.0252,5.3756e-01,No,Facilitative
A. baumannii,Shedu,named,-0.0707,8.3371e-02,No,Restrictive
A. baumannii,SspBCDE,named,0.0357,3.8205e-01,No,Facilitative
A. baumannii,df_AbiH,named,0.0134,7.4328e-01,No,Facilitative
A. baumannii,df_CapRel,named,0.0499,2.2243e-01,No,Facilitative
A. baumannii,df_PD-T7-5,named,0.201,6.8625e-07,Yes,Facilitative
A. baumannii,df_Prometheus,named,0.0332,4.1753e-01,No,Facilitative
A. baumannii,padloc_PD-T7-1or5,named,0.1779,1.1689e-05,Yes,Facilitative
A. baumannii,padloc_PDC-S01,PDC,0.155,1.3847e-04,Yes,Facilitative
A. baumannii,padloc_PDC-S04,PDC,0.0769,5.9700e-02,No,Facilitative
A. baumannii,padloc_PDC-S14,PDC,0.0271,5.0687e-01,No,Facilitative
A. baumannii,padloc_PDC-S15,PDC,0.1714,2.4349e-05,Yes,Facilitative
A. baumannii,padloc_PDC-S20,PDC,0.0555,1.7424e-01,No,Facilitative
A. baumannii,padloc_PDC-S26,PDC,-0.0573,1.6102e-01,No,Restrictive
A. baumannii,padloc_PDC-S33,PDC,0.0514,2.0854e-01,No,Facilitative
A. baumannii,padloc_ietAS,named,-0.0279,4.9452e-01,No,Restrictive
E. cloacae complex,BREX_I,named,0.0646,1.4651e-01,No,Facilitative
E. cloacae complex,CAS_I-F,named,0.0551,2.1540e-01,No,Facilitative
E. cloacae complex,Gabija,named,-0.0137,7.5765e-01,No,Restrictive
E. cloacae complex,Gao_Mza,named,-0.0145,7.4536e-01,No,Restrictive
E. cloacae complex,Gao_Ppl,named,0.0884,4.6692e-02,Yes,Facilitative
