Species,Feature,Category,ρ (within-phylogroup),p (within-phylogroup),"ρ (partial, IS-adjusted)",p (partial),Sign preserved,Survives covariate adjustment
E. cloacae complex,Gao_Ppl,named,0.0884,4.6692e-02,0.1058,1.7125e-02,Yes,Yes
E. cloacae complex,HEC-01,named,0.0898,4.3360e-02,0.0006,9.8991e-01,Yes,No
E. cloacae complex,RM_Type_II,named,0.2811,1.1621e-10,0.2321,1.2529e-07,Yes,Yes
E. cloacae complex,RM_Type_IV,named,0.1085,1.4472e-02,0.0743,9.4680e-02,Yes,No
E. cloacae complex,df_Mok_Hok_Sok,named,0.1455,1.0216e-03,0.0856,5.3967e-02,Yes,No
E. cloacae complex,padloc_PDC-S09,PDC,0.1029,2.0482e-02,-0.0346,4.3640e-01,No,No
E. cloacae complex,padloc_PDC-S36,PDC,0.2721,4.6802e-10,0.2904,2.5918e-11,Yes,Yes
K. pneumoniae,CAS_IV-A,named,0.1809,4.4079e-05,0.0872,5.0360e-02,Yes,No
K. pneumoniae,DRT_3,named,-0.0993,2.5759e-02,-0.0355,4.2648e-01,Yes,No
K. pneumoniae,Mokosh_TypeII,named,0.0964,3.0561e-02,-0.0101,8.2095e-01,No,No
K. pneumoniae,PrrC,named,0.0951,3.2766e-02,0.033,4.5983e-01,Yes,No
K. pneumoniae,RM_Type_II,named,0.3883,1.3931e-19,0.3542,2.4412e-16,Yes,Yes
K. pneumoniae,Shango,named,0.1057,1.7609e-02,0.1023,2.1668e-02,Yes,Yes
K. pneumoniae,cas_type_other,catch-all,0.1609,2.8592e-04,0.0966,3.0051e-02,Yes,Yes
K. pneumoniae,df_FS_HP,named,0.1125,1.1507e-02,0.1415,1.4533e-03,Yes,Yes
K. pneumoniae,df_MazEF,named,0.1638,2.2076e-04,0.1186,7.6681e-03,Yes,Yes
K. pneumoniae,df_Mok_Hok_Sok,named,0.2413,4.1488e-08,0.1977,7.7648e-06,Yes,Yes
K. pneumoniae,df_TgvAB,named,0.304,3.0927e-12,0.2601,3.0982e-09,Yes,Yes
K. pneumoniae,df_VP1851,named,0.0911,4.0988e-02,0.0875,4.9733e-02,Yes,Yes
K. pneumoniae,padloc_PDC-S29,PDC,0.0911,4.0988e-02,0.0875,4.9733e-02,Yes,Yes
K. pneumoniae,padloc_PDC-S31,PDC,0.213,1.3989e-06,0.2116,1.6499e-06,Yes,Yes
K. pneumoniae,padloc_PDC-S36,PDC,0.123,5.6840e-03,0.0997,2.5261e-02,Yes,Yes
K. pneumoniae,padloc_PDC-S67,PDC,0.193,1.2782e-05,0.1775,6.1667e-05,Yes,Yes
E. faecium,AbiE,named,0.1979,4.9976e-06,0.17,9.2398e-05,Yes,Yes
E. faecium,DRT_2,named,0.1573,3.0105e-04,0.121,5.5508e-03,Yes,Yes
E. faecium,Gabija,named,0.2826,4.4651e-11,0.279,7.9815e-11,Yes,Yes
E. faecium,RM_Type_I,named,0.0895,4.0581e-02,0.0746,8.8072e-02,Yes,No
E. faecium,df_AbiH,named,0.1103,1.1555e-02,0.0667,1.2738e-01,Yes,No
E. faecium,df_AbiJ,named,0.1914,1.0215e-05,0.1665,1.2896e-04,Yes,Yes
E. faecium,df_AbiP2,named,0.1679,1.1241e-04,0.1348,1.9866e-03,Yes,Yes
E. faecium,df_MazEF,named,-0.2205,3.4226e-07,-0.2834,3.9202e-11,Yes,Yes
E. faecium,padloc_PDC-S04,PDC,0.2363,4.4108e-08,0.2187,4.3101e-07,Yes,Yes
P. aeruginosa,CBASS_II,named,0.1513,1.9970e-04,0.1485,2.6171e-04,Yes,Yes
P. aeruginosa,HEC-05,named,0.164,5.4373e-05,0.2227,3.5355e-08,Yes,Yes
P. aeruginosa,Hachiman,named,0.0998,1.4493e-02,0.1171,4.0679e-03,Yes,Yes
P. aeruginosa,Mokosh_TypeI_A,named,0.1679,3.5904e-05,0.1379,7.0376e-04,Yes,Yes
P. aeruginosa,PsyrTA,named,0.1233,2.4842e-03,-0.0114,7.8109e-01,No,No
P. aeruginosa,RM_Type_III,named,0.082,4.4734e-02,0.0868,3.3612e-02,Yes,Yes
P. aeruginosa,cbass_other,catch-all,0.1572,1.0997e-04,0.1611,7.4089e-05,Yes,Yes
P. aeruginosa,df_RloC,named,0.115,4.7798e-03,0.0437,2.8504e-01,Yes,No
P. aeruginosa,df_RnlAB,named,0.081,4.7453e-02,0.1368,7.8050e-04,Yes,Yes
P. aeruginosa,padloc_PDC-M30,PDC,0.0802,4.9639e-02,0.0443,2.7877e-01,Yes,No
P. aeruginosa,padloc_PDC-S02,PDC,0.0947,2.0367e-02,0.0892,2.8877e-02,Yes,Yes
P. aeruginosa,padloc_PDC-S05,PDC,0.1456,3.4588e-04,0.1791,1.0141e-05,Yes,Yes
P. aeruginosa,padloc_PDC-S06,PDC,0.1077,8.2763e-03,0.0431,2.9188e-01,Yes,No
P. aeruginosa,padloc_PDC-S11,PDC,0.0927,2.3179e-02,0.0773,5.8598e-02,Yes,No
P. aeruginosa,padloc_PDC-S24,PDC,0.3226,5.3397e-16,0.2862,8.9879e-13,Yes,Yes
