Species,Feature,N genomes,N phylogroups,ρ (species-level),"p_adj (BH, Q2 run)",ρ (within-phylogroup),p (within-phylogroup),Survives robustness gate
A. baumannii,RM_Type_I,600,35,-0.2873172643968773,4.195065608490542e-12,0.0981188605217568,0.0162077633836079,False
A. baumannii,RM_Type_II,600,35,-0.0956164360198345,0.0308526101395753,-0.0232801483255947,0.569266000070343,False
A. baumannii,RM_Type_IV,600,35,-0.3336526741927879,6.609362269219458e-16,-0.0945547871211184,0.0205325165335592,False
E. cloacae complex,RM_Type_II,507,82,0.2976633593940264,3.8393296539793954e-10,0.2811003787081163,1.1620682729218003e-10,True
E. cloacae complex,RM_Type_IV,507,82,0.114615051180996,0.0345167272989769,0.1085481206763728,0.0144716600628603,True
K. pneumoniae,RM_Type_I,504,37,0.2320647543755829,1.7604083022475036e-06,0.0621921124823726,0.1632896830916256,False
K. pneumoniae,RM_Type_II,504,37,0.3865944308635852,1.3373504878012659e-17,0.3882797757536348,1.3931253448662922e-19,True
P. aeruginosa,RM_Type_I,600,85,0.3331933955121893,1.5781005863833388e-15,0.0788599367252544,0.0535269201842612,False
P. aeruginosa,RM_Type_II,600,85,0.1775834251982562,4.4394409566716305e-05,0.0354524427640997,0.3860156751421868,False
P. aeruginosa,RM_Type_IIG,600,85,0.10484228731859,0.0223845694247212,0.0299599404424381,0.4638635939529522,False
P. aeruginosa,RM_Type_III,600,85,0.1516718473424693,0.0006218736472146,0.0819743329303187,0.0447342655280278,False
P. aeruginosa,df_RM_Type_IIG_2,600,85,0.130009766142456,0.003892377273863,0.0760963065012222,0.0624924015221209,False
P. aeruginosa,df_RM_Type_IV_1,600,85,0.1794074668334835,3.853819712957492e-05,0.0770782950604116,0.0591743724065109,False
E. faecium,RM_Type_I,524,40,0.1410212708003975,0.0045955941925512,0.0894920450888774,0.0405811012852565,False
E. faecium,Gabija,524,40,0.3361225333156465,6.062850302378187e-14,0.2825767046198041,4.4651496880593506e-11,True
E. faecium,AbiE,524,40,0.2064326489844606,1.443580970148552e-05,0.1979148279445189,4.997585029130817e-06,True
E. faecium,df_AbiJ,524,40,0.2814081734007794,6.214567515439944e-10,0.1914355754451767,1.0215059070282983e-05,True
E. faecium,df_AbiH,524,40,0.1392232403061817,0.0045955941925512,0.1102510152231381,0.0115554491601714,True
S. aureus,RM_Type_IIG,600,30,-0.1167919115794638,0.0083494238753287,-0.0218010899720206,0.5940576646287135,False
