Dataset,K,Silhouette (Euclidean),Silhouette (Jaccard),Note
Full (n=3335),2,0.0302,0.0807,
Full (n=3335),3,0.0523,0.0710,
Full (n=3335),4,0.0599,0.0984,Best K by silhouette
Full (n=3335),5,0.0470,0.0939,
Full (n=3335),6,0.0567,0.0843,
Full (n=3335),7,0.0349,0.0749,
Full (n=3335),8,0.0413,0.0691,
Full (n=3335),9,0.0461,—,
Full (n=3335),10,0.0566,—,
Full (n=3335),11,0.0388,—,
Full (n=3335),12,0.0428,—,
Dereplicated (n=309),2,0.1006,—,"Best K by silhouette; ARI vs species labels (K=2) = 0.102; delta versus full-dataset best-K ARI = 0.261 (exceeds 0.10 robustness threshold; clonal inflation confirmed)"
